time,size,direction
0.0405349731445313,1051,DL
0.0405600070953369,27,UL
0.0405778884887695,1051,DL
0.0406839847564697,27,UL
0.0407040119171143,1051,DL
0.0407910346984863,27,UL
0.0408058166503906,1051,DL
0.0409228801727295,27,UL
0.0410418510437012,1051,DL
0.0410628318786621,27,UL
0.041085958480835,4123,DL
0.0412788391113281,27,UL
0.0424609184265137,1051,DL
0.042482852935791,27,UL
0.0425388813018799,1051,DL
0.0425679683685303,27,UL
0.042625904083252,58395,DL
0.043118953704834,27,UL
0.043226957321167,1051,DL
0.0432479381561279,27,UL
0.0433008670806885,1051,DL
0.0433568954467773,27,UL
0.0434110164642334,54299,DL
0.0438358783721924,27,UL
0.044003963470459,1051,DL
0.0440249443054199,27,UL
0.0440440177917481,1051,DL
0.0441608428955078,27,UL
0.0441808700561523,56347,DL
0.0447399616241455,27,UL
0.0448069572448731,1051,DL
0.0448739528656006,27,UL
0.0448958873748779,1051,DL
0.0449860095977783,27,UL
0.0450417995452881,65535,DL
0.0456328392028809,27,UL
0.0457079410552979,1051,DL
0.0457489490509033,27,UL
0.0458159446716309,1051,DL
0.0458738803863525,27,UL
0.0459020137786865,65535,DL
0.046522855758667,27,UL
0.0510969161987305,1051,DL
0.0511319637298584,27,UL
0.0511558055877686,4123,DL
0.0513348579406738,27,UL
0.0545628070831299,1051,DL
0.0545938014984131,27,UL
0.0546200275421143,1051,DL
0.0547168254852295,27,UL
0.0547499656677246,1051,DL
0.0547928810119629,27,UL
0.0548088550567627,1051,DL
0.0549240112304688,27,UL
0.0564370155334473,1051,DL
0.0564689636230469,27,UL
0.0565140247344971,1051,DL
0.0565919876098633,27,UL
0.0566489696502686,58395,DL
0.0571129322052002,27,UL
0.0572109222412109,1051,DL
0.0572338104248047,27,UL
0.0572559833526611,1051,DL
0.0573668479919434,27,UL
0.0574219226837158,52251,DL
0.0578408241271973,27,UL
0.057981014251709,1051,DL
0.0580120086669922,27,UL
0.0580568313598633,1051,DL
